Marker,Time_stamp
wait,79993.06834006877
wait,79993.06844006882
wait,79993.06850726885
wait,79993.06857856887
wait,79993.06866846891
wait,79993.06872056895
wait,79993.06878086897
wait,79993.06885026899
wait,79993.06886826901
wait,79993.06891616902
wait,79993.06893186904
wait,79993.06899236907
wait,79993.06905876908
wait,79993.06912986912
wait,79993.06919406913
wait,79993.06924926917
wait,79993.06931476919
wait,79993.06933366919
wait,79993.06938506922
wait,79993.06940176923
wait,79993.06946366925
wait,79993.06952826929
wait,79993.06959986931
wait,79993.06966976933
wait,79993.06971506937
wait,79993.06975796938
wait,79993.06982766942
wait,79993.06988756945
wait,79993.06993406946
wait,79993.06999206949
wait,79993.07004226951
wait,79993.07010016953
wait,79993.07015016954
wait,79993.07022096957
wait,79993.07030376962
wait,79993.07042196966
wait,79993.07044286968
wait,79993.07045646968
wait,79993.07053336971
wait,79993.07055316972
wait,79993.07058036973
wait,79993.07059736973
wait,79993.07068126978
wait,79993.07077856982
wait,79993.07087696987
wait,79993.07094676989
wait,79993.07096396989
wait,79993.0710114699
wait,79993.07104486992
wait,79993.07106556994
wait,79993.07114836997
wait,79993.07121717
wait,79993.07123497
wait,79993.07129487004
wait,79993.07131947004
wait,79993.07134767006
wait,79993.07137167007
wait,79993.07139077008
wait,79993.07140907008
wait,79993.07141947008
wait,79993.0714347701
wait,79993.0714447701
wait,79993.07146077011
wait,79993.07147117011
wait,79993.07148627011
wait,79993.07149667013
wait,79993.07154947014
wait,79993.07165367018
wait,79993.07173947022
wait,79993.07178747024
wait,79993.07184107027
wait,79993.07186107028
wait,79993.07189727029
wait,79993.07195227031
wait,79993.07201027035
wait,79993.07202687034
wait,79993.07203897035
wait,79993.07205697036
wait,79993.07207497036
wait,79993.07209277038
wait,79993.0721155704
wait,79993.07213357039
wait,79993.0721512704
wait,79993.0721686704
wait,79993.07222877043
wait,79993.07226677045
wait,79993.07229067046
wait,79993.07232397048
wait,79993.07234847048
wait,79993.07239047051
wait,79993.07244197052
wait,79993.07248987055
wait,79993.07253937057
wait,79993.0725952706
wait,79993.0726137706
wait,79993.07266697062
wait,79993.07271667063
wait,79993.07278317066
wait,79993.0728451707
wait,79993.07285977069
wait,79993.07290927072
wait,79993.07298087075
wait,79993.07304307078
wait,79993.07305797079
wait,79993.0730875708
wait,79993.07313307081
wait,79993.07318747084
wait,79993.07325107088
wait,79993.0733255709
wait,79993.07341777094
wait,79993.07348017098
wait,79993.073561071
wait,79993.07361867103
wait,79993.07366597104
wait,79993.07370607105
wait,79993.07373787108
wait,79993.07377047109
wait,79993.0738057711
wait,79993.0738220711
wait,79993.07390697114
wait,79993.07392287115
wait,79993.07397187117
wait,79993.07401997119
wait,79993.07407847123
wait,79993.07412817124
wait,79993.07416587126
wait,79993.07420907127
wait,79993.0742560713
wait,79993.07434047133
wait,79993.07442717136
wait,79993.07444797138
wait,79993.07447197138
wait,79993.0745148714
wait,79993.07457597142
wait,79993.07462347145
wait,79993.07467417147
wait,79993.0747236715
wait,79993.07479627152
wait,79993.07485267155
wait,79993.07486587156
wait,79993.07493387158
wait,79993.07499927162
wait,79993.07509267166
wait,79993.07531317174
wait,79993.07533127176
wait,79993.07541747179
wait,79993.0754664718
wait,79993.07551397182
wait,79993.07556347185
wait,79993.07562847188
wait,79993.07565067189
wait,79993.07572797191
wait,79993.07574557193
wait,79993.07576057193
wait,79993.07577357194
wait,79993.07578807195
wait,79993.07580207195
wait,79993.07585847197
wait,79993.07587507197
wait,79993.07588907199
wait,79993.075901372
wait,79993.07591177199
wait,79993.07592417201
wait,79993.07593967201
wait,79993.07595487202
wait,79993.07596827202
wait,79993.07598437203
wait,79993.07602497205
wait,79993.07604607205
wait,79993.07606907206
wait,79993.07609107207
wait,79993.0761190721
wait,79993.07613787209
wait,79993.0761541721
wait,79993.07620977212
wait,79993.07622337213
wait,79993.07623467213
wait,79993.07624557214
wait,79993.07625857215
wait,79993.07628127215
wait,79993.07629657217
wait,79993.07631067217
wait,79993.07632577218
wait,79993.07634067218
wait,79993.07635467219
wait,79993.07637007219
wait,79993.07638537219
wait,79993.0764012722
wait,79993.07641697221
wait,79993.07643247223
wait,79993.07645447222
wait,79993.07646737224
wait,79993.07648037224
wait,79993.07649527225
wait,79993.07650897226
wait,79993.07652107225
wait,79993.07653387227
