timestamp,value
84888.4178819,1
84888.4316309,1
84888.4476813,1
84888.4645277,1
84888.4813024,0
84888.4980158,0
84888.5145869,0
84888.5314144,0
84888.5478957,1
84888.5646984,1
84888.5814932,1
84888.5977625,1
84888.6146152,0
84888.6312843,0
84888.6478874,0
84888.6644429,0
84888.6812765,1
84888.6978284,1
84888.7145625,1
84888.7313508,1
84888.7478381,0
84888.76466,0
84888.7813768,0
84888.7982013,0
84888.8150092,1
84888.831408,1
84888.8483528,1
84888.8648242,1
84888.8814875,0
84888.8979461,0
84888.9146464,0
84888.9313287,0
84888.9481281,1
84888.9648407,1
84888.9813797,1
84888.9981011,1
84889.0146132,0
84889.0314303,0
84889.0481261,0
84889.0650289,0
84889.0812433,1
84889.098403,1
84889.1148229,1
84889.1313575,1
84889.1485239,0
84889.1648579,0
84889.1815335,0
84889.1982252,0
84889.2147576,1
84889.2316342,1
84889.248197,1
84889.2647926,1
84889.2814497,0
84889.2981966,0
84889.3149129,0
84889.3317197,0
84889.3482342,1
84889.3647958,1
84889.3815283,1
84889.3984789,1
84889.4149926,0
84889.4316603,0
84889.4482843,0
84889.4649601,0
84889.4817482,1
84889.4982058,1
84889.5148741,1
84889.5315901,1
84889.5483421,0
84889.564878,0
84889.5813276,0
84889.5983529,0
84889.6148506,1
84889.6317362,1
84889.648365,1
84889.6652278,1
84889.6817752,0
84889.6983962,0
84889.7151205,0
84889.7315831,0
84889.7484102,1
84889.7653574,1
84889.7817446,1
84889.7984897,1
84889.8151672,0
84889.83179,0
84889.848664,0
84889.8651772,0
84889.8817301,1
84889.8984731,1
84889.9151351,1
84889.9316649,1
84889.9485674,0
84889.9651841,0
84889.9819854,0
84889.9986349,0
84890.0152177,1
84890.0318895,1
84890.0485946,1
84890.0652736,1
84890.0815789,0
84890.0987197,0
84890.1154101,0
84890.1318367,0
84890.1485232,1
84890.165281,1
84890.1817578,1
84890.1988124,1
84890.2152581,0
84890.2319456,0
84890.2485865,0
84890.2654842,0
84890.2820188,1
84890.2985716,1
84890.3153735,1
84890.332054,1
84890.3486789,0
84890.3653597,0
84890.382377,0
84890.3987324,0
84890.4156554,1
84890.4323325,1
84890.4485674,1
84890.4655157,1
84890.4822946,0
84890.4984903,0
84890.5156685,0
84890.5321171,0
84890.5488433,1
84890.5655144,1
84890.5818002,1
84890.5987979,1
84890.6155273,0
84890.6322573,0
84890.6489489,0
84890.6656493,0
84890.6821692,1
84890.6990099,1
84890.7154906,1
84890.732672,1
84890.7489433,0
84890.7654478,0
84890.7820027,0
84890.7987566,0
84890.8155022,1
84890.8322864,1
84890.8488282,1
84890.8655338,1
84890.8823181,0
84890.8987685,0
84890.9155821,0
84890.9323861,0
84890.9489215,1
84890.9655506,1
84890.9821521,1
84890.9991575,1
84891.015572,0
84891.032359,0
84891.0490483,0
84891.0657572,0
84891.0821799,1
84891.0990575,1
84891.1155936,1
84891.1323867,1
84891.1490393,0
84891.1657676,0
84891.1823947,0
84891.1991266,0
84891.2156137,1
84891.232379,1
84891.2494363,1
84891.2656833,1
84891.2824398,0
84891.2990152,0
84891.3157285,0
84891.3329057,0
84891.3492354,1
84891.3657826,1
84891.3824689,1
84891.3991212,1
84891.415797,0
84891.432376,0
84891.4492015,0
84891.4657456,0
84891.482665,1
84891.4992071,1
84891.5158456,1
84891.5325502,1
84891.5492889,0
84891.5657529,0
84891.5824114,0
84891.5993869,0
84891.6160119,1
84891.6326211,1
84891.6496207,1
84891.6657599,1
84891.6825521,0
84891.6992553,0
84891.7158398,0
84891.7326943,0
84891.7493086,1
84891.765745,1
84891.7826111,1
84891.7993029,1
84891.8158492,0
84891.8327099,0
84891.849332,0
84891.8662635,0
84891.8827774,1
84891.8992234,1
84891.9160565,1
84891.9326414,1
84891.9494453,0
84891.9661071,0
84891.9830479,0
84891.9992194,0
84892.016378,1
84892.0326737,1
84892.0495104,1
84892.0661895,1
84892.0826682,0
84892.0995165,0
84892.1161386,0
84892.1328744,0
84892.1494795,1
84892.166234,1
84892.1829134,1
84892.1994977,1
84892.216355,0
84892.2328856,0
84892.2497525,0
84892.2662759,0
84892.2828786,1
84892.2995794,1
84892.316343,1
84892.3328565,1
84892.3495536,0
84892.3662852,0
84892.3828707,0
84892.3995393,0
84892.4163253,1
84892.4328112,1
84892.4495576,1
84892.4662411,1
84892.4833671,0
84892.4997038,0
84892.5163095,0
84892.5330441,0
84892.5499883,1
84892.5663699,1
84892.5827481,1
84892.5996655,1
84892.6164499,0
84892.6335368,0
84892.6496831,0
84892.666516,0
84892.6832383,1
84892.6996575,1
84892.7164325,1
84892.7331251,1
84892.7498915,0
84892.7666932,0
84892.7831823,0
84892.7997928,0
84892.8163927,1
84892.833217,1
84892.8496802,1
84892.8663338,1
84892.883447,0
84892.899713,0
84892.9167683,0
84892.9333922,0
84892.9498837,1
84892.9665657,1
84892.9832411,1
84892.9997516,1
84893.0166543,0
84893.0333021,0
84893.0497926,0
84893.0665217,0
84893.0829587,1
84893.0997886,1
84893.1166369,1
84893.1332514,1
84893.1498184,0
84893.1664715,0
84893.1830258,0
84893.199788,0
84893.2166648,1
84893.2332529,1
84893.2501696,1
84893.2667462,1
84893.2835191,0
84893.3000363,0
84893.3166958,0
84893.3336057,0
84893.3500404,1
84893.3665669,1
84893.3835712,1
84893.4004936,1
84893.4169151,0
84893.4334751,0
84893.4501308,0
84893.4666313,0
