Marker,Time_stamp
takeoff,70456.78419763304
end_s,70461.85327810374
landing,70468.88983694665
end_s,70473.89218582169
takeoff,70480.9285695646
end_s,70485.99739353532
landing,70493.0342594782
end_s,70498.03628805326
end,70499.0364000883
wait,70501.0037162605
